Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES
e:	eː	96	U+0065 U+003A	e:kʰna,me:gam,ʋe:ɾə
eː	eː	1	U+0065 U+02D0	meːmu
gg	gː	6	U+0067 U+0067	aggi,buggi,neggaɖ
gʰ	gʱ	3	U+0067 U+02B0	dɾogʰ taɖing,maɾgʰ,me:gʰamu
i:	iː	124	U+0069 U+003A	bi:ɖi,i:ru,i:ɾ
kk	kː	53	U+006B U+006B	guanakki,okko:t,uppekke
kʰ	kʰ	31	U+006B U+02B0	akʰna,dɾahkʰt,okʰna
ll	lː	73	U+006C U+006C	fullə,kulle,tellag
mm	mː	13	U+006D U+006D	mamma,nimma,nimme
nn	nː	47	U+006E U+006E	onna,tinn,unning
o:	oː	94	U+006F U+003A	ho:gpo,no:f,to:l
p:	pː	1	U+0070 U+003A	kp:ma:ɭi
pp	pː	37	U+0070 U+0070	kaɾəppə,seʋappə,taɳuppə
ss	sː	7	U+0073 U+0073	assal,bissə,tissəgaɳɖa:ngi
th	tʰ	1	U+0074 U+0068	kuthige
ts	ts	1	U+0074 U+0073	matsya
tt	tː	49	U+0074 U+0074	bottig,maɾattoli,ottə
tʃ	tʃ	107	U+0074 U+0283	taltʃenʈi,tʃando,tʃo:ɾe
tʰ	tʰ	4	U+0074 U+02B0	ha:tʰa,stʰana,stʰanamu
u:	uː	79	U+0075 U+003A	mu:kə,mu:ʈə,tu:ɾs
ɖɖ	ɖː	9	U+0256 U+0256	aɖɖə,doɖɖadə,eɖɖedana
ɖʰ	ɖʰ	1	U+0256 U+02B0	peɖʰ
ə:	əː	3	U+0259 U+003A	kə:ɭ,pə:ɭ,ə:ɭ
ɭɭ	ɭː	7	U+026D U+026D	ni:ɭɭu,oɭɭijadu,ʋeɭɭe
ʈʈ	ʈː	45	U+0288 U+0288	muʈʈa,muʈʈi,paʈʈi
ʋʋ	ʋː	5	U+028B U+028B	iʋʋaɖam,koʋʋu,oʋʋoɖimo
ṭṭ	ʈː	6	U+1E6D U+1E6D	hoṭṭe,paṭṭa,vaṭṭa-
kkʰ	kʰː	1	U+006B U+006B U+02B0	kʰekkʰa
tʃ:	tʃː	1	U+0074 U+0283 U+003A	tʃ:ɭa
dʒdʒ	dʒː	3	U+0064 U+0292 U+0064 U+0292	bedʒdʒ,idʒdʒna,nedʒdʒa
tʃtʃ	tʃː	33	U+0074 U+0283 U+0074 U+0283	katʃtʃa:,natʃtʃatiɾa,patʃtʃad
bo:dʰ	b oː dʱ	1	U+0062 U+006F U+003A U+0064 U+02B0	bo:dʰ
piva:ʰd	p i v aː dʱ	1	U+0070 U+0069 U+0076 U+0061 U+003A U+02B0 U+0064	piva:ʰd
"vidʒdʒa"""	v i dʒː a	1	U+0076 U+0069 U+0064 U+0292 U+0064 U+0292 U+0061 U+0022	"vidʒdʒa""	
"
